Title,Company,Location,Stipend,Date,Skills,Link,Stipend_cleaned
Data Engineer,Talent Corner HR Services,Mumbai,"₹ 15,000 lump sum",3 days ago,"Amazon Web Services (AWS), Data Warehousing, Effective Communication, Microsoft Azure, Problem Solving, Python, SQL",https://internshala.com/internship/detail/data-engineer-internship-in-mumbai-at-talent-corner-hr-services1746694086,0
Technical,Nurture Xcel,Mumbai,"₹ 5,000 - 7,000 /month",3 days ago,"Computer skills, Java, JavaScript, Problem Solving, Python, Troubleshooting",https://internshala.com/internship/detail/technical-internship-in-mumbai-at-nurture-xcel1746693560,6000
Cybersecurity Analyst,Talent Corner HR Services,Mumbai,"₹ 15,000 lump sum",3 days ago,"Bash, Collaboration, Effective Communication, OpenVAS, Python, Security tools",https://internshala.com/internship/detail/cybersecurity-analyst-internship-in-mumbai-at-talent-corner-hr-services1746693396,0
Campus Ambassador,NFThing,Work from home,Performance Based,3 days agoPart time,"Analytical Thinking, Critical thinking, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Node.js, Problem Solving, Python, Social Media Marketing",https://internshala.com/internship/detail/campus-ambassador-programme-at-nfthing1746691384,0
Artificial Intelligence (AI),Settyl,Chennai,"₹ 12,000 - 15,000 /month",3 days ago,"Artificial intelligence, Data Analytics, Data Science, Deep Learning, FastAPI, Flask, Gemini, Generative AI Development, Generative AI Tools, Google Cloud Platforms (GCP), LLM evaluation, Machine Learning, Microsoft Azure, Python",https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-chennai-at-settyl1746690205,13500
Full Stack Developer,Talent Corner HR Services,Mumbai,"₹ 15,000 lump sum",3 days ago,"AngularJS, HTML, JavaScript, MySQL, Node.js, Python, React",https://internshala.com/internship/detail/full-stack-developer-internship-in-mumbai-at-talent-corner-hr-services1746689769,0
Data Analyst,Talent Corner HR Services,Mumbai,"₹ 15,000 lump sum",3 days ago,"Hypothesis Testing, Jupyter Notebook, MS-Excel, Power BI, Python, SQL, Tableau",https://internshala.com/internship/detail/data-analyst-internship-in-mumbai-at-talent-corner-hr-services1746688355,0
Artificial Intelligence (AI),HeyCloudy,Work from home,"₹ 2,000 /month",3 days agoPart time,"Artificial intelligence, Data Science, Data Structures, Python",https://internshala.com/internship/detail/work-from-home-part-time-artificial-intelligence-ai-internship-at-heycloudy1746688226,2000
Business Strategy Analyst,Faclon,Mumbai,"₹ 7,000 - 12,000 /month",3 days ago,"MS-Office, Power BI, Python, SQL, Tableau",https://internshala.com/internship/detail/business-strategy-analyst-internship-in-mumbai-at-faclon1746687099,9500
Software Development,Amber Flux Private Limited,Work from home,"₹ 9,999 - 10,000 /month",3 days agoPart time,"Apache Cassandra, C++ Programming, Context API, CSS, FastAPI, Git, MEAN, MERN, Next.js, Python, Redux, REST API, Shadcn, SQL, Tailwind CSS, TypeScript",https://internshala.com/internship/detail/work-from-home-part-time-software-development-internship-at-amber-flux-private-limited1746682456,9999
GLSL Shaders Developer,WebTree Global Private Limited,Work from home,"₹ 1,001 - 7,000 /month",3 days ago,"Blender 3D, Python",https://internshala.com/internship/detail/work-from-home-glsl-shaders-developer-internship-at-webtree-global-private-limited1746681493,4000
GenAI/LLM,Resolute AI Software Private Limited,Work from home,"₹ 5,000 - 8,000 /month",3 days ago,"Amazon Web Services (AWS), Artificial intelligence, C++ Programming, Google Cloud Platforms (GCP), Java, Machine Learning, Microsoft Azure, Python, TensorFlow",https://internshala.com/internship/detail/work-from-home-genai-llm-internship-at-resolute-ai-software-private-limited1746679970,6500
